billno,billdate,srno,itemcode,itemdescription,packing,manf,companyname,batchno,expdt,rate,mrp,itemvalue,qnty,free,scheme,cd,disc,cnno,cnamount,add,netamt,upc,duedate,ptr,sgstper,sgstamt,cgstper,cgstamt,igstper,igstamt,cessper,cessamt,hsncode,gstin,ewbno
E042726-A0289271,22/05/2026,1,M62164,ASCABIOL BOTTLE OF 120ML EMULSION,120 ML,ABB,ABB,AYL0027,29/10/2027,150.69,197.78,150.69,1,,,5,7.53,0,,0,5952.00,,23/05/2026,0,2.5,3.58,2.5,3.58,,,,,30049099,,
E042726-A0289271,22/05/2026,2,L65373,ASTHAKIND DX JUNIOR CHERRY FLAVOUR BOTTLE OF 60ML SYRUP,60 ML,MAN,MAN,B4FHY003,28/11/2027,57.51,75.48,575.1,10,3,,5,28.76,0,,0,5952.00,,23/05/2026,0,2.5,13.66,2.5,13.66,,,,,30049099,,
E042726-A0289271,22/05/2026,3,I42848,CHERICOF JUNIOR BOTTLE OF 60ML SYRUP,60 ML,RAN,RAN,SXH0153A,29/12/2027,70,91.88,420,6,,8.33,12.91,54.24,0,,0,5952.00,,23/05/2026,0,2.5,9.14,2.5,9.14,,,,,30049099,,
E042726-A0289271,22/05/2026,4,H75207,CORCIUM K2 TAB 15S,15 UNITS,LUP,LUP,LAB25013,29/01/2027,350.1,459.5,700.2,2,,,5,35.01,0,,0,5952.00,,23/05/2026,0,2.5,16.63,2.5,16.63,,,,,30049099,,
E042726-A0289271,22/05/2026,5,O68140,DAPATURN M 10MG - 10 TAB,10 UNITS,LUP,LUP,26S2GTA394,29/01/2028,112.88,148.15,225.76,2,,,5,11.29,0,,0,5952.00,,23/05/2026,0,2.5,5.36,2.5,5.36,,,,,300490,,
E042726-A0289271,22/05/2026,6,059430,DOLOGEL BOTTLE OF 15GM MOUTH GEL,15 G,DR,DR,DLG26003,29/01/2028,93.93,123.28,187.86,2,,,5,9.39,0,,0,5952.00,,23/05/2026,0,2.5,4.46,2.5,4.46,,,,,300490,,
E042726-A0289271,22/05/2026,7,I41444,FEBUSTAT 40MG - 15 TAB,15 UNITS,ABB,ABB,FSA25017,29/10/2027,257.2,337.58,257.2,1,,,5,12.86,0,,0,5952.00,,23/05/2026,0,2.5,6.11,2.5,6.11,,,,,30049069,,
E042726-A0289271,22/05/2026,8,198823,KEPPRA 500MG - 10 TAB,10 UNITS,DR,DR,PC182534,28/11/2027,105.58,138.58,316.74,3,,,5,15.84,0,,0,5952.00,,23/05/2026,0,2.5,7.52,2.5,7.52,,,,,30049099,,
E042726-A0289271,22/05/2026,9,A70193,KETOFLY LOTION 50 ML,50 ML,LEE,LEE,DLXP6001,29/01/2028,47.7,135,190.8,4,,,5,9.54,0,,0,5952.00,,23/05/2026,0,2.5,4.53,2.5,4.53,,,,,33049990,,
E042726-A0289271,22/05/2026,10,C61121,"MINTOP ANTI HAIR FALL SHAMPOO | BOTTLE OF 100ML",100 ML,DR,DR,BZL6005,29/01/2028,406.1,533,406.1,1,,,5,20.31,0,,0,5952.00,,23/05/2026,0,2.5,9.64,2.5,9.64,,,,,33051090,,
E042726-A0289271,22/05/2026,11,C90806,NEXITO 5MG - 15 TAB,15 UNITS,SUN,SUN,SIH0348A,29/01/2028,61.28,80.43,122.56,2,,,5,6.13,0,,0,5952.00,,23/05/2026,0,2.5,2.91,2.5,2.91,,,,,30049079,,
E042726-A0289271,22/05/2026,12,254158,NIFTRAN 100MG 10 CAPS,10 UNITS,RAN,RAN,JEC0025,28/11/2027,70.32,92.29,210.96,3,,,5,10.55,0,,0,5952.00,,23/05/2026,0,2.5,5.01,2.5,5.01,,,,,30049079,,
E042726-A0289271,22/05/2026,13,I14184,PREGABID NT - 15 TAB,15 UNITS,INT,INT,N2600130,29/12/2028,312.14,409.69,312.14,1,,,5,15.61,0,,0,5952.00,,23/05/2026,0,2.5,7.42,2.5,7.42,,,,,30049082,,
E042726-A0289271,22/05/2026,14,242636,RABLET L 20/75MG - 10 CAPS,10 UNITS,LUP,LUP,UB02162,26/02/2027,259.35,340.4,518.7,2,,,5,25.94,0,,0,5952.00,,23/05/2026,0,2.5,12.32,2.5,12.32,,,,,30049039,,
E042726-A0289271,22/05/2026,15,I35637,TELISTA MT 50MG - 15 TAB,15 UNITS,LUP,LUP,UC00727,27/02/2028,334.21,438.65,668.42,2,,,5,33.42,0,,0,5952.00,,23/05/2026,0,2.5,15.88,2.5,15.88,,,,,300490,,
E042726-A0289271,22/05/2026,16,N72134,TELMIKIND LNB 50 - 10 TAB,10 UNITS,MAN,MAN,A2MMY007,29/05/2027,115.73,151.89,347.19,3,,,5,17.36,0,,0,5952.00,,23/05/2026,0,2.5,8.24,2.5,8.24,,,,,30049099,,
E042726-A0289271,22/05/2026,17,242604,TETRAFOL PLUS - 10 TAB,10 UNITS,SUN,SUN,GKH0078A,29/01/2028,195.72,256.88,391.44,2,,,5,19.57,0,,0,5952.00,,23/05/2026,0,2.5,9.3,2.5,9.3,,,,,30045034,,
